baseline config: acc: 89.346954
config 0: acc: 89.313164, speedup: 1.1807080387311342
config 1: acc: 89.110413, speedup: 1.4474747698422803
config 2: acc: 89.093544, speedup: 1.5031619189973842
config 3: acc: 89.169533, speedup: 1.31328668869981
config 4: acc: 89.152634, speedup: 1.291573841267332
config 5: acc: 89.161095, speedup: 1.307955508977992
config 6: acc: 89.161095, speedup: 1.338554258501068
config 7: acc: 89.169533, speedup: 1.2468170026894538
config 8: acc: 89.169533, speedup: 1.343235467879068
config 9: acc: 89.152634, speedup: 1.3515448423626286
config 10: acc: 89.161095, speedup: 1.456811859866809
config 11: acc: 89.161095, speedup: 1.5201510456334555
config 12: acc: 89.152634, speedup: 1.4380351193676257
config 13: acc: 89.161095, speedup: 1.4435151063448028
config 14: acc: 89.152634, speedup: 1.4840382208625518
config 15: acc: 89.186462, speedup: 1.3936125701889737
config 16: acc: 89.203346, speedup: 1.4811777818375969
config 17: acc: 89.203346, speedup: 1.4683225488530638
config 18: acc: 89.203346, speedup: 1.4181576574438801
config 19: acc: 89.203346, speedup: 1.5318513831583787
config 20: acc: 89.203346, speedup: 1.6718993282797117
config 21: acc: 89.085045, speedup: 1.6640281806220036
config 22: acc: 89.085068, speedup: 1.4152963019096694
config 23: acc: 89.085068, speedup: 1.4184211525629689
config 24: acc: 89.093491, speedup: 1.4685740844492934
config 25: acc: 89.085068, speedup: 1.4374481162416093
config 26: acc: 89.093491, speedup: 1.4521918186728424
config 27: acc: 89.144218, speedup: 1.5901810082027654
config 28: acc: 89.144218, speedup: 1.4747242303619443
config 29: acc: 89.085068, speedup: 1.4390897657817319
config 30: acc: 89.144218, speedup: 1.5623688216392568
config 31: acc: 89.144218, speedup: 1.513678348235607
config 32: acc: 89.144218, speedup: 1.5770577431700086
config 33: acc: 89.093491, speedup: 1.6028437921929044
config 34: acc: 89.085068, speedup: 1.5717583339094157
config 35: acc: 89.237137, speedup: 1.5825821690728634
config 36: acc: 89.144218, speedup: 1.5470442752246893
config 37: acc: 89.144218, speedup: 1.514890794083949
config 38: acc: 89.144218, speedup: 1.5614427972111493
config 39: acc: 89.085068, speedup: 1.5870200223060171
config 40: acc: 89.085068, speedup: 1.5144740024008698
config 41: acc: 89.144218, speedup: 1.509919643811014
config 42: acc: 89.144218, speedup: 1.6184501490985226
config 43: acc: 89.144218, speedup: 1.6427707531610773
config 44: acc: 89.093491, speedup: 1.7806164490843834
config 45: acc: 89.144218, speedup: 1.6801772277164098
config 46: acc: 89.237137, speedup: 1.860783298550508
config 47: acc: 89.144218, speedup: 1.6499755470364583
config 48: acc: 89.085068, speedup: 1.7310139938264961
config 49: acc: 89.144218, speedup: 1.719719877730148
